sample_id,frame,year,title,author,label,raw_label,confidence,narrating_situation,agent_note,why,n_quotes,event_past,event_present,beat_past,beat_present,bucket_event,bucket_dialogue,bucket_gnomic,bucket_paratext,bucket_unclear
top2018:1288,modern,2018,DARK SACRED NIGHT,Michael Connelly,PAST,PAST,high,retrospective,"Third-person past-tense procedural alternating between two named characters. 10 event quotes, 10/10 past, no present-tense event narration at all. Quotation marks survive in this book's excerpts, so mark-absence was treated as informative; q03086 is the one dialogue call made on vocative/address rather than marks. Only flip-risk is q03078, and it is gnomic-vs-past, not past-vs-present, so it cannot move the label.","100% past / 0% present of 13, situation=retrospective",16,10,0,3,0,10,5,1,0,0
top2018:1620,modern,2018,ELEVATION,Stephen King,PAST,PAST,high,retrospective,"Event narration is predominantly past-tense; the single present event is an immediate, story-specific interior thought. Present aphorisms were excluded as gnomic.","90% past / 10% present of 10, situation=retrospective",18,9,1,0,0,10,2,4,0,2
top2018:1666,modern,2018,EVERY BREATH,Nicholas Sparks,PAST,PAST,high,retrospective,"Complete, 40/40 quotes. Past-tense third person with a first-person retrospective strand (q02679, q02687, q02692, q02700, q02706, q02715). Only present-tense event quote is q02706, the first-person narrator's discourse-now, which points to a frame/letter structure rather than simultaneous narration — not enough evidence to call it dual. Heavy aphorism load (11 gnomic of 40), consistent with the source's quotability bias. Three past-tense generalizations flagged in notes: q02686 kept gnomic (real-world citation, no story-world referent), q02696 and q02710 kept event/past (backshifted reported thought).","96% past / 4% present of 27, situation=retrospective",40,24,1,2,0,25,3,11,0,1
top2018:1818,modern,2018,FIRE AND BLOOD,George R.R. Martin,PAST,PAST,high,retrospective,"Pseudo-historical chronicle voice: all narration quotes are past-tense summary or specific-event report; no present-tense event narration found. Quotation marks are inconsistently preserved in this book's quote set, so unmarked speech was identified by vocatives, first/second-person deixis, imperatives and register — recorded per quote. Aphorisms are heavy here (6 gnomic), as expected of a popularity-ranked quote page, and were kept out of the tense count. Event evidence is thin (5 quotes) but unanimous past. q02432 is the single quote that could move the present column; q02428 is the one gnomic/event boundary call flagged rather than decided silently.","100% past / 0% present of 11, situation=retrospective",27,5,0,6,0,5,16,6,0,0
top2018:2758,modern,2018,LONG ROAD TO MERCY,David Baldacci,PAST,PAST,high,retrospective,"Event narration is predominantly past (7 past, 1 present). The single present event is first-person reflection, not evidence of a simultaneous narrating situation.","91% past / 9% present of 11, situation=retrospective",22,7,1,3,0,8,6,5,0,3
top2018:3244,modern,2018,NINE PERFECT STRANGERS,Liane Moriarty,PAST,PAST,high,retrospective,"Third-person past narration, multiple POV characters (Frances, Heather, Jessica, Lars, Carmel). One sustained present-tense interior passage (q02776). Two attributed epigraphs bucketed paratext. Prose fiction, not verse. Many quotes are unquoted speech from a retreat setting -- identified by imperatives, vocatives and direct address rather than quotation marks. Six past-tense generalizations flagged as contested gnomic candidates; all kept as event/past per the past-tense rule.","98% past / 2% present of 48, situation=retrospective",71,46,1,1,0,47,12,10,2,0
top2018:3473,modern,2018,PAST TENSE,Lee Child,PAST,PAST,high,retrospective,24 event quotes: 23 past and 1 present. The present-tense event excerpt does not establish a dual narrating situation.,"95% past / 5% present of 21, situation=retrospective",25,18,1,2,0,19,4,1,0,1
top2018:4321,modern,2018,STILL ME,Jojo Moyes,PAST,PAST,high,retrospective,"Complete, 40/40 quotes. First-person retrospective past narration throughout; a heavy second-person aphoristic layer (gnomic) reflects this source's quotability bias, not the book's tense. Past-tense generalizations ('You had to seize the day', 'Running had been my ex Patrick's thing', the Gopnik charity passage) kept as event/past per the present-only gnomic rule. Quotation marks survive well here, so mark-absence was treated as weak evidence for narration; where marks were absent the signals used were vocatives (q03195), character idiolect (q03210), and direct address/register (q03204, q03207, q03209). q03233 is the only present event quote and is the flip risk. q03215 abstained (all caps, bucket undeterminable). Counts: event 20 (19 past / 1 present, 95% past), dialogue 11, gnomic 8, unclear 1.","96% past / 4% present of 26, situation=retrospective",40,19,1,6,0,20,11,8,0,1
top2018:5322,modern,2018,THE GREAT ALONE,Kristin Hannah,PAST,PAST,high,retrospective,"Third-person past narration centred on Leni; heavy past-tense free indirect discourse. Two first-person present quotes (q02472, q02528) read as a frame/epigraph voice, not the main narration. Prose fiction, not verse. Gnomic bucket is all present-tense aphorism; three past-tense generalizations flagged in notes as contested.","97% past / 3% present of 64, situation=retrospective",79,57,2,5,0,59,9,11,0,0
top2018:5464,modern,2018,THE IMMORTALISTS,Chloe Benjamin,PRESENT,PRESENT,high,simultaneous,"Event narration is predominantly present-tense, with past-tense recollections and historical backstory.","32% past / 68% present of 37, situation=simultaneous",47,10,19,2,6,29,13,5,0,0
top2018:5879,modern,2018,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,PAST,PAST,high,retrospective,,"100% past / 0% present of 15, situation=retrospective",52,9,0,6,0,9,11,32,0,0
top2018:5955,modern,2018,THE OUTSIDER,Stephen King,PAST,PAST,high,retrospective,Classified solely from the supplied excerpts; event narration is predominantly past tense.,"89% past / 11% present of 28, situation=retrospective",60,19,3,6,0,22,32,3,1,2
top2018:5997,modern,2018,THE PERFECT COUPLE,Elin Hilderbrand,PRESENT,PRESENT,high,simultaneous,"Event narration is overwhelmingly present tense (13 present, 1 past); the lone past passage is biographical backstory.","8% past / 92% present of 13, situation=simultaneous",23,1,12,0,0,13,3,6,0,1
top2018:6043,modern,2018,THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,PRESENT,PRESENT,high,simultaneous,"Two registers in the quote set: a large body of present-tense essayistic civic commentary (gnomic, 22 of 38) that is quotability bias plus what reads as non-fiction-style political argument, and a smaller thriller narration strand that is first-person/third-person present (9 of 12 event quotes). The past minority is memory/backstory (q02627 iterative recollection, q02644 primaries backstory) plus q02621's specific past clause inside an otherwise essayistic passage. Dialogue marks survive well in this book (q02624, q02625, q02640 all carry them), so unmarked speech-register quotes were judged by vocative/direct address (q02630) rather than by tags. q02613, q02623 and q02632 are past-tense frame verbs citing real-world figures with no story-world referent -- kept gnomic under the argument-by-analogy exception, flagged rather than decided silently.","20% past / 80% present of 15, situation=simultaneous",38,3,9,0,3,12,4,22,0,0
top2018:6105,modern,2018,THE RECKONING,John Grisham,PAST,PAST,high,retrospective,"Clean retrospective past-tense third-person narration with a strong strand of past-tense historical/expository summary (Bataan, oil embargo, state hangings) -- exactly the material the methodology warns must be scored event/past rather than gnomic. Zero gnomic and zero paratext in this set. Dialogue marks survive well in this book, so mark presence was the primary bucketing signal; register was the fallback for the two unmarked quotes (q02454 dialogue, q02462 event). 22 event / 4 dialogue; 21 past / 1 present (95.5% past).","96% past / 4% present of 24, situation=retrospective",26,21,1,2,0,22,4,0,0,0
top2018:6700,modern,2018,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,OTHER,DUAL,high,dual,Manual review 2026-08-13: the novel has structurally distinct present-tense and past-tense narrative strands; label as dual rather than treating the past material as mere recollection.,"45% past / 55% present of 11, situation=dual",19,5,6,0,0,11,2,5,0,1
top2018:6729,modern,2018,THE WOMAN IN THE WINDOW,A.J. Finn,PRESENT,PRESENT,high,simultaneous,,"20% past / 80% present of 41, situation=simultaneous",53,7,30,1,3,37,8,7,1,0
top2018:6779,modern,2018,THERE THERE,Tommy Orange,OTHER,DUAL,high,dual,"Multi-voiced book. Two distinct strands visible in the quotes: (a) a collective 'we' strand of past-tense historical exposition about Native/Urban Indian history (q02794, q02798, q02805, q02808, q02810, q02815) and first-person retrospection (q02813, q02824), and (b) present-tense character sections in third and second person (q02828, q02823, q02803, q02829). Not diary/epistolary — dual here means strand split, not writing-moment vs. recounting. Very high gnomic share (19/43): the quote source is dominated by essayistic/aphoristic prologue-style material, so gnomic was applied only to present-tense generalization beyond the story world; all past-tense exposition and summary was filed event/past per METHODOLOGY.md. Several dialogue quotes lost their quotation marks in the Goodreads text; those were identified by vocative and speech-marker evidence, recorded per quote. Flip-risk: q02814.","60% past / 40% present of 20, situation=dual",43,12,7,0,1,19,5,19,0,0
top2018:7239,modern,2018,WHERE THE CRAWDADS SING,Delia Owens,PAST,PAST,high,retrospective,Event narration is predominantly past; one present event quote is a character-specific observation framed as Kya's thought. Two unframed verse excerpts are left unclear.,"91% past / 9% present of 11, situation=retrospective",25,6,1,4,0,7,5,11,0,2
top2019:431,modern,2019,AN ANONYMOUS GIRL,Greer Hendricks and Sarah Pekkanen,PRESENT,PRESENT,high,simultaneous,"Complete: all 46 quotes. Buckets: 28 gnomic, 17 event, 1 dialogue, 0 unclear. Event split 15 present / 2 past (88.2% present). Heavily aphoristic quote page -- the gnomic bucket does almost all the work here, exactly the false-present bias METHODOLOGY warns about. Two narrating strands both in present: (a) first-person 'I' narration with present thought/dialogue tags (q03671, q03685, q03693, q03694, q03707, q03710); (b) a second-person address strand narrating a specific addressee's traits and biography, not second-person universals (q03681, q03684, q03689, q03699, q03709) -- distinguished by concrete particulars such as the makeup case in q03689 and the 13-year-old self in q03709. Past minority is 2 quotes: q03702 (retrospective reflection on parents) and q03703 (past clause carrying present free indirect thought) -- a recollection strand, not a second base tense. Dialogue-mark survival on this page is poor: q03671 kept its marks, q03704 lost them and was read from the truncated dialogue tag and register.","12% past / 88% present of 17, situation=simultaneous",46,2,15,0,0,17,1,28,0,0
top2019:525,modern,2019,"ASK AGAIN, YES",Mary Beth Keane,PAST,PAST,high,retrospective,Event narration is consistently retrospective; the few present-tense excerpts are gnomic or insufficiently contextualized.,"100% past / 0% present of 51, situation=retrospective",64,47,0,4,0,47,9,4,0,4
top2019:776,modern,2019,BLUE MOON,Lee Child,PAST,PAST,high,retrospective,"Clean past-tense third-person limited narration following a character named Reacher, heavy free indirect discourse in clipped fragments. 16 event quotes, all past, none present. Gnomic bucket used only for three genuinely present-tense generalizations (a proverb, a second-person rule of thumb, a verbless fragment); past-tense summary such as q03720 kept as event/past per the specificity-not-tense rule. Dialogue identified by quotation-mark majority everywhere except q03724, where marks are absent and register/first-person deixis was the signal. No paratext, no non-English, no verse.","100% past / 0% present of 17, situation=retrospective",24,16,0,1,0,16,4,3,0,1
top2019:1067,modern,2019,CITY OF GIRLS,Elizabeth Gilbert,PAST,PAST,high,retrospective,Event narration is predominantly retrospective past; the few present event passages are reflective states rather than a separate contemporaneous strand.,"91% past / 9% present of 33, situation=retrospective",72,27,3,3,0,30,25,17,0,0
top2019:1237,modern,2019,DAISY JONES & THE SIX,Taylor Jenkins Reid,PAST,PAST,med,retrospective,,"83% past / 17% present of 6, situation=retrospective",53,5,1,0,0,6,38,6,0,3
top2019:1683,modern,2019,EVVIE DRAKE STARTS OVER,Linda Holmes,PAST,PAST,high,retrospective,"38 quotes, complete. Third-person past narration centered on Evvie/Eveleth; every event quote is past, none present. Quotation marks survive on some excerpts and are stripped by truncation on others, so unmarked speech was identified via vocatives, direct address and speech markers (recorded per quote). Several first-person present passages (q04092, q04103, q04114, q04115, q04129) read as speech rather than a narrating strand, since the narration elsewhere is uniformly third-person past; q04092 is the flip-risk case. Heavy aphoristic contamination typical of this source: 7 gnomic second-person universals that a two-bucket filter would score as present-tense evidence.","100% past / 0% present of 21, situation=retrospective",38,17,0,4,0,17,13,7,0,1
top2019:2795,modern,2019,LOST ROSES,Martha Hall Kelly,PAST,PAST,med,retrospective,"Heavily dialogue-dominated quote page (9 of 19) -- Goodreads selected the speeches. Only 3 event-narration quotes survive, all past, which is below the >=5 threshold; label.py will read this as insufficient rather than high-confidence past. Quotation marks survive on about half the quotes; for the rest I used vocatives, imperatives, and speech markers, recorded per quote. q04142 is the one that could move the count: it is present tense and I filed it paratext as an afterword about real present-day places, not narration.","100% past / 0% present of 5, situation=retrospective",19,3,0,2,0,3,9,4,1,2
top2019:3115,modern,2019,MRS. EVERYTHING,Jennifer Weiner,PAST,PAST,high,retrospective,"Clean past-tense third-person narration with heavy free indirect discourse across two sisters (Jo, Bethie). Quotation marks survived on roughly half the dialogue quotes; where absent I used vocatives, direct address, first/second-person deixis and colloquial register, noted per quote. Two attributed epigraphs discarded as paratext, one rhyming couplet abstained as verse. q04170 is a past-tense proverb allusion with no story-world referent -- the contested past-tense gnomic case, flagged rather than decided silently. All 24 event quotes are past; no present event-narration anywhere in the sample.","100% past / 0% present of 29, situation=retrospective",43,24,0,5,0,24,12,4,2,1
top2019:3286,modern,2019,NORMAL PEOPLE,Sally Rooney,PRESENT,PRESENT,high,simultaneous,Present-tense story-moment narration predominates; past event passages read as recollection or retrospective material rather than a separate narrating position.,"30% past / 70% present of 57, situation=simultaneous",68,16,36,1,4,52,9,5,0,2
top2019:3349,modern,2019,"OLIVE, AGAIN",Elizabeth Strout,PAST,PAST,high,retrospective,"Third-person past-tense narration throughout, close free indirect discourse over several characters (Olive, Jack, Bob, Cindy, Kayley). 26 event quotes, all past, no present event-narration anywhere. Quotation marks survive on roughly half the dialogue; where absent I used vocatives, direct address, filled pauses and self-repair rather than the tag rule, and recorded the signal per quote. Two abstentions (q03626, q03658) are both short unmarked first-person/present fragments that could be speech or free indirect thought; neither would plausibly be third-person present narration, so the past reading is not fragile. Gnomic held to present-tense universals only (q03637, q03643); several past-tense generalizing passages (q03621, q03627, q03640, q03657) were kept as event/past per the methodology's load-bearing rule.","100% past / 0% present of 30, situation=retrospective",42,26,0,4,0,26,12,2,0,2
top2019:3883,modern,2019,RUN AWAY,Harlan Coben,PAST,PAST,high,retrospective,23 quotes classified in input order. Event narration is consistently past tense; dialogue beats are past where present.,"100% past / 0% present of 16, situation=retrospective",23,14,0,2,0,14,3,6,0,0
top2019:4374,modern,2019,SUMMER OF '69,Elin Hilderbrand,OTHER,DUAL,high,dual,Event excerpts include a present-tense story frame and past-tense recollective passages. Generic maxims and instructional prose were excluded as gnomic.,"30% past / 70% present of 10, situation=dual",20,3,6,0,1,9,2,9,0,0
top2019:5026,modern,2019,THE DUTCH HOUSE,Ann Patchett,PAST,PAST,high,retrospective,"First-person retrospective narration throughout; narrator looks back on childhood and a father, frequently marking the distance ('after so many years', 'I had never thought about him as a child'). All 16 event quotes past; zero present event-narration. Quotation marks survived on only one quote (q03400), so dialogue elsewhere was identified by vocatives, imperatives, direct-address questions, 'you know', and colloquial register -- recorded per quote. Three gnomic quotes are all present-tense second-person universals; no past-tense quote was filed gnomic.","100% past / 0% present of 17, situation=retrospective",25,16,0,1,0,16,6,3,0,0
top2019:5265,modern,2019,THE GIVER OF STARS,Jojo Moyes,PAST,PAST,high,retrospective,Event narration is consistently retrospective; present-tense excerpts are dialogue or gnomic/paratext.,"100% past / 0% present of 28, situation=retrospective",54,22,0,6,0,22,20,7,5,0
top2019:5342,modern,2019,THE GUARDIANS,John Grisham,PRESENT,PRESENT,CONFLICT,simultaneous,"First-person present-tense narration (legal/innocence-project register) with an identifiable past strand: case backstory and forensic-expert history (q03503, q03504, q03506, q03509, q03510, q03516). Event 15 (9 present / 6 past = 60% present), gnomic 10, dialogue 0, paratext 0, unclear 0. beat_tense: ZERO quotes bucketed dialogue, so the field is unexercised in this book -- no quote in the sample is majority-speech. Mark signal: quotation marks DO survive this extraction (q03518 carries intact curly quotes around 'Are you sure?'), so mark-absence elsewhere is more informative than the methodology's default assumption; I nonetheless cross-checked the unmarked candidates (q03500, q03507, q03512) on vocative/direct-address/register and found no speech markers. The clearest tense evidence the old beat rule would have discarded is the present tag 'he asks' in q03518, which survives here only because that quote is majority-narration and therefore bucketed event rather than dialogue. Split is 60/40 with a structural cause (case-history strand), so this is a Mixed--strand finding, not high-confidence present.","40% past / 60% present of 15, situation=simultaneous",25,6,9,0,0,15,0,10,0,0
top2019:5479,modern,2019,THE INSTITUTE,Stephen King,PAST,PAST,high,retrospective,"Event narration is overwhelmingly past-tense, with a small number of story-specific present-tense passages. Dialogue beats are past where present.","92% past / 8% present of 53, situation=retrospective",72,40,4,9,0,44,24,3,0,1
top2019:5609,modern,2019,THE LAST ROMANTICS,Tara Conklin,PAST,PAST,high,retrospective,"Complete: 38 of 38 quotes. Uniformly past-tense narration in two modes -- first-person retrospective ('I remembered', 'I wrote them down') and third-person past centered on Renee and Caroline. Zero present-tense event narration. Heavy aphoristic overlay (12 gnomic) typical of Goodreads selection bias; several past-tense generalizations (q04262, q04269, q04270) were kept as event/past under the present-only gnomic rule -- q04269 is the main flip risk, a bare past-tense maxim with no story-world referent. Dialogue marks survive on q04290 only; q04275 identified as speech via vocative plus imperatives.","100% past / 0% present of 25, situation=retrospective",38,24,0,1,0,24,2,12,0,0
top2019:5871,modern,2019,THE NEW GIRL,Daniel Silva,PAST,PAST,med,retrospective,"Third-person past-tense thriller. 6 event quotes, all past, 0 present. Gnomic bucket is real here (two attributed epigraphs/proverbs, one aphorism, one fragment) but I kept past-tense story-world exposition (q04296, q04302) in event/past per the load-bearing rule. Dialogue marks survive on some quotes and are stripped on others; for q04301/q04303 I used direct address and imperative as the signal.","100% past / 0% present of 7, situation=retrospective",17,6,0,1,0,6,5,5,0,1
top2019:5880,modern,2019,THE NICKEL BOYS,Colson Whitehead,PAST,PAST,high,retrospective,Event narration is predominantly retrospective past tense; the few present-tense event passages do not establish a dual narrating position.,"88% past / 12% present of 43, situation=retrospective",60,37,5,1,0,42,8,8,1,1
top2019:6303,modern,2019,THE SILENT PATIENT,Alex Michaelides,ABSTAIN,UNCLEAR,,unclear,"Event excerpts contain both present narrating-moment reflection and past recounting, but the supplied quote text does not establish a narrating structure that warrants retrospective, simultaneous, or dual.",situation='unclear',50,13,5,1,0,18,7,18,5,2
top2019:6385,modern,2019,THE STARLESS SEA,Erin Morgenstern,PRESENT,PRESENT,high,simultaneous,"The event excerpts are predominantly present-tense, with the few past-tense passages functioning as first-person recollection or a past-framed embedded story moment.","19% past / 81% present of 26, situation=simultaneous",52,4,18,1,3,22,8,22,0,0
top2019:6489,modern,2019,THE TESTAMENTS,Margaret Atwood,PAST,PAST,high,retrospective,"Event excerpts primarily use retrospective first-person narration, with present-tense story-world/frame passages; no supplied excerpt establishes a diary or epistolary dual form.","74% past / 26% present of 27, situation=retrospective",54,16,7,4,0,23,4,26,0,1
top2019:6649,modern,2019,THE WATER DANCER,Ta-Nehisi Coates,PAST,PAST,high,retrospective,"First-person retrospective past narration throughout; the telling-moment surfaces explicitly ('I know now', 'I remember') but never carries the recounting, so retrospective rather than dual. Zero present-tense event quotes. The book's Goodreads page is heavily aphorism-biased: 9 gnomic + 7 dialogue + 1 paratext of 44. Quotation marks are inconsistently preserved on this work page - 5 dialogue calls rest on vocative/direct-address/speech-marker/register signals rather than marks.","100% past / 0% present of 28, situation=retrospective",44,26,0,2,0,26,7,9,1,1
top2019:7020,modern,2019,TWISTED TWENTY-SIX,Janet Evanovich,PAST,PAST,high,retrospective,,"71% past / 29% present of 14, situation=retrospective",22,4,3,6,1,7,12,3,0,0
top2020:33,modern,2020,28 SUMMERS,Elin Hilderbrand,PRESENT,PRESENT,CONFLICT,simultaneous,Present-tense contemporaneous first-person reflection predominates; past event excerpts are recollection or historical exposition.,"39% past / 61% present of 38, situation=simultaneous",80,13,23,2,0,36,4,38,0,2
top2020:259,modern,2020,A TIME FOR MERCY,John Grisham,PAST,PAST,high,retrospective,"Third-person past narration throughout, heavy on courtroom dialogue. Quotation marks survive in most excerpts, so the marks-majority test did the work; the two unmarked advisory passages (q05127 read as speech via vocative, q05134/q05140 read as gnomic maxims) were the only ones needing register judgment. Event evidence is uniform: 11 event quotes, 11 past, 0 present. No present-tense event narration anywhere, and the only present-tense material is aphorism -- exactly the profile the methodology calls near-unfakeable past.","100% past / 0% present of 16, situation=retrospective",23,11,0,5,0,11,9,3,0,0
top2020:414,modern,2020,AMERICAN DIRT,Jeanine Cummins,PRESENT,PRESENT,high,simultaneous,"Third-person present-tense narration following Lydia and Luca; 29 present / 4 past across 33 event quotes (87.9% present). The entire past minority is backstory/recollection - bookshop-and-baby backstory (q04320), a past-perfect hope (q04326), habitual past reading (q04345), and past exposition on a cartel figure (q04346) - so this is a clean present + recollection strand rather than an unexplained split. Unusually heavy paratext leakage: 7 quotes are author's note or acknowledgments, four of them self-labelled on the Goodreads page. Quotation marks survive on the true dialogue quotes, so mark-majority was the deciding signal there. Two abstentions: q04336 (first-person past in a third-person novel, speech vs author's note undecidable) and q04343 (embedded verse).","14% past / 86% present of 36, situation=simultaneous",52,4,29,1,2,33,4,6,7,2
top2020:482,modern,2020,ANXIOUS PEOPLE,Fredrik Backman,PAST,PAST,high,retrospective,,"73% past / 27% present of 15, situation=retrospective",77,9,2,2,2,11,19,45,2,0
top2020:693,modern,2020,BIG SUMMER,Jennifer Weiner,PAST,PAST,high,retrospective,"First-person past-tense retrospective narration by a body-positive blogger. Extremely high gnomic load -- 10 of 24 quotes -- exactly the Goodreads quotability bias, and several are embedded blog-post/speech register that generalizes beyond the story world. Zero present-tense event quotes: every specific-moment quote is past. q04742 is the flagged past-tense gnomic exception (analogy, no story-world referent); q04746 is the main flip-risk bucketing call.","100% past / 0% present of 13, situation=retrospective",24,13,0,0,0,13,0,10,0,1
top2020:740,modern,2020,BLINDSIDE,James Patterson and James O. Born,PAST,PAST,high,retrospective,"First-person past-tense retrospective narration (a cop in NYC), with a third-person past strand (Christoph). Heavy aphorism load -- 7 of 23 quotes are gnomic, the expected Goodreads quotability bias -- but every specific-moment quote but one is past. Quotation marks survive in this book, so the mark-majority test carried the dialogue calls; q05165 is the one unmarked-speech call, made on direct address.","93% past / 7% present of 14, situation=retrospective",23,11,1,2,0,12,3,7,0,1
top2020:1356,modern,2020,DEAR EDWARD,Ann Napolitano,PRESENT,PRESENT,high,simultaneous,"Third-person present-tense narration across multiple focalizers; 12 of 14 event quotes present. The two past quotes (q04934, q04958) read as recollection/backstory rather than a competing narrative line. Quotation marks are stripped from many quotes on this work page, so dialogue was identified by vocatives ('Edward', 'Eddie', 'son', 'Edward Adler'), second-person direct address, and imperative/speech register. Two epigraphs with external attributions (Pema Chodron, George Eliot) filed as paratext. Flip risk: q04957.","10% past / 90% present of 20, situation=simultaneous",43,2,12,0,6,14,16,11,2,0
top2020:1718,modern,2020,FAIR WARNING,Michael Connelly,PAST,PAST,high,retrospective,"Predominantly first-person retrospective past narration, with at least one third-person past strand (q05098). 8 event quotes, 8/8 past, no present event-narration anywhere in the set. The gnomic quotes are all timeless-present aphorism, the expected Goodreads quotability bias, and none of them is present-tense event narration.","100% past / 0% present of 9, situation=retrospective",16,8,0,1,0,8,2,5,0,1
top2020:2357,modern,2020,IF IT BLEEDS,Stephen King,OTHER,DUAL,high,dual,"Two distinct narrating stances coexist in the quote set, and they do not look like one narrator's two time positions. Strand A: first-person retrospective past, age-anchored ('even at thirteen I had my doubts'), oriented on a character called Mr. Harrigan (q04520, q04526, q04530, q04534, q04538, q04540). Strand B: third-person simultaneous present about an unnamed 'she' (q04537, q04541), with no overlap of persons or referents with Strand A. This reads as a multi-strand or multi-story volume rather than a diary/epistolary dual. Heavy gnomic contamination: 11 of 25 quotes are aphorism or essayistic generalization, exactly the quotability bias METHODOLOGY warns about; a two-bucket filter would have read most of them as present-tense evidence. Quotation marks survive on only one quote (q04522), so dialogue was assigned from vocatives ('kiddo', 'Craig'), imperatives, and second-person direct address. Event yield 9 of 25: 6 past / 3 present. All 3 present-event quotes are load-bearing and are flagged individually.","70% past / 30% present of 10, situation=dual",25,6,3,1,0,9,4,11,0,1
top2020:2385,modern,2020,IN FIVE YEARS,Rebecca Serle,PRESENT,PRESENT,CONFLICT,simultaneous,"First-person present-tense narration ('sitting here at my desk, I realize', 'I look out on that view') with a clear past recollection strand -- every past event quote is memory or backstory (q05106 'I used to think', q05113 'I was young', q05121 a remembered trip with a friend, q05122 'When I first moved to the city'). Not diary/epistolary: no dates, salutations, or entry structure, so simultaneous rather than dual. Quotation marks survive in only 1 of 5 dialogue quotes; the rest were identified by direct address, vocative, imperative, or an explicit speech tag. 12 event quotes, 8 present / 4 past (66.7% present).","38% past / 62% present of 13, situation=simultaneous",24,4,8,1,0,12,5,6,0,1
top2020:2978,modern,2020,MEXICAN GOTHIC,Silvia Moreno-Garcia,PAST,PAST,high,retrospective,"Third-person past narration centered on a single focalizing character, with heavy free indirect discourse. The free indirect passages generalize a great deal (marriage, women, dreams) but do so in past tense/past-modal, so they are event/past per the present-only gnomic rule rather than gnomic. Quotation marks survive in only 2 of 10 dialogue quotes; the rest were identified by vocative, second-person address, imperative, or first-person voice inside a third-person narrative. 10 event quotes, 10/10 past.","100% past / 0% present of 11, situation=retrospective",24,10,0,1,0,10,10,4,0,0
top2020:4361,modern,2020,SUCH A FUN AGE,Kiley Reid,PAST,PAST,high,retrospective,"Clean third-person past narration centred on Emira, with Alix/Alex, Briar and Kelley as recurring figures. Event yield is high (14 of 25) and unanimously past — no present-tense narration survives once dialogue is separated out, which is the near-unfakeable evidence pattern METHODOLOGY describes for past. Unusually low gnomic contamination for this source: only 1 of 25. Quotation marks survive on 5 quotes (some degraded to single apostrophes by the scrape), so the remaining dialogue was assigned from direct address, vocative-free second person, imperatives, and colloquial spoken register. Several quotes mix speech and narration and were resolved by word-count on the quotation-mark majority rule: q04570, q04572 and q04573 fall clearly to event; q04575 is a 20-to-19 near-tie awarded to dialogue and is the one genuine flip risk, though flipping it would only add another past event quote. Every present-tense verb in the set sits inside speech, free direct thought, an embedded generalization (q04574), or the abstained fragment q04577.","100% past / 0% present of 18, situation=retrospective",25,14,0,4,0,14,9,1,0,1
top2020:4687,modern,2020,THE BOOK OF LONGINGS,Sue Monk Kidd,PAST,PAST,high,retrospective,"First-person retrospective narration, clean past-tense event core (18 past / 2 present). Quotation marks survive on only 3 quotes, so dialogue was identified mainly by vocatives ('Ana', 'Lucian'), direct address, and speech markers ('what I speak of', 'You said'); recorded per quote. Heavy aphorism load (11 gnomic) is exactly the quotability bias METHODOLOGY warns about. The two present event quotes (q05326, q05328) are narrating-present commentary by the retrospective narrator, not a simultaneous strand. q05346 discarded as author's note.","90% past / 10% present of 21, situation=retrospective",48,18,2,1,0,20,16,11,1,0
top2020:4688,modern,2020,THE BOOK OF LOST FRIENDS,Lisa Wingate,PRESENT,PRESENT,high,simultaneous,"First-person present-tense narration in both visible strands: the contemporary teacher/librarian voice (q05384, q05387, q05388, q05396) and the dialect strand (q05392 'She shows me... I sit down... I whisper'; q05376 'Mama's voice whispers in my head'). Event split is 10 present / 2 past, and both past quotes (q05370, q05379) are backstory/memory about books and the narrator's foster family -- a recollection strand, not a second narrating position, so simultaneous rather than dual. 83% present lands in the 80-85% band METHODOLOGY.md flags for audit. Heavy gnomic load (12 of 31) is exactly the aphorism bias the source is known for. Marks survive in this book's dialogue quotes, which I used as evidence against reading unmarked generalizations as speech.","21% past / 79% present of 14, situation=simultaneous",31,2,10,1,1,12,3,12,1,3
top2020:4691,modern,2020,THE BOOK OF TWO WAYS,Jodi Picoult,PRESENT,PRESENT,CONFLICT,simultaneous,Present event narration is paired with a past recollection/backstory strand; no overall book label calculated.,"43% past / 57% present of 23, situation=simultaneous",72,10,9,0,4,19,13,39,0,1
top2020:4710,modern,2020,THE BOY FROM THE WOODS,Harlan Coben,PAST,PAST,med,retrospective,"Third-person past narration. Heavily aphoristic quote set (8/16 gnomic) -- typical Goodreads quotability bias. All 5 event quotes are past, unanimous. Two past-tense gnomic calls (q05069, q05073) flagged as the contested analogy exception; if both were reclassified as event/past the book stays 7/7 past, so they carry no flip risk.","100% past / 0% present of 6, situation=retrospective",16,5,0,1,0,5,3,8,0,0
